date,city,temp,humidity,rainfall,aqi
2023-06-02,Delhi,30.7,89.2,0.0,60
2023-06-03,Delhi,30.6,85.4,0.0,61
2023-06-04,Delhi,29.1,91.1,0.0,66
2023-06-05,Delhi,30.1,78.8,0.0,101
2023-06-06,Delhi,29.1,87.1,0.0,117
2023-06-07,Delhi,30.4,82.5,0.0,89
2023-06-08,Delhi,31.5,82.1,10.6,65
2023-06-09,Delhi,30.0,82.5,0.0,96
2023-06-10,Delhi,31.0,75.4,0.0,111
2023-06-11,Delhi,32.2,78.2,34.3,78
2023-06-12,Delhi,30.4,84.4,0.0,81
2023-06-13,Delhi,29.5,82.0,20.3,75
2023-06-14,Delhi,27.3,94.0,0.0,82
2023-06-15,Delhi,28.1,89.9,23.1,96
2023-06-16,Delhi,32.1,88.4,0.0,94
2023-06-17,Delhi,32.0,79.7,37.3,88
2023-06-18,Delhi,29.4,92.3,31.7,80
2023-06-19,Delhi,30.4,87.8,0.0,95
2023-06-20,Delhi,29.3,78.1,40.0,83
2023-06-21,Delhi,31.8,86.4,0.0,89
2023-06-22,Delhi,31.2,83.5,18.7,81
2023-06-23,Delhi,28.7,76.2,0.0,74
2023-06-24,Delhi,32.3,82.1,0.0,100
2023-06-25,Delhi,32.3,87.5,0.0,105
2023-06-26,Delhi,27.1,87.1,33.0,79
2023-06-27,Delhi,28.1,76.4,16.3,103
2023-06-28,Delhi,29.8,92.2,21.7,76
2023-06-29,Delhi,30.6,82.6,15.2,80
2023-06-30,Delhi,30.3,78.4,27.4,69
2023-07-01,Delhi,31.2,81.0,11.1,82
2023-07-02,Delhi,31.2,83.2,11.5,80
2023-07-03,Delhi,30.8,85.6,36.6,96
2023-07-04,Delhi,30.7,78.8,7.9,119
2023-07-05,Delhi,31.2,91.9,11.0,71
2023-07-06,Delhi,31.6,77.0,26.7,107
2023-07-07,Delhi,27.3,77.2,29.8,82
2023-07-08,Delhi,31.6,92.0,25.4,119
2023-07-09,Delhi,29.7,90.5,6.1,103
2023-07-10,Delhi,32.2,76.8,22.1,91
2023-07-11,Delhi,29.9,75.8,27.2,64
2023-07-12,Delhi,27.9,91.4,0.0,83
2023-07-13,Delhi,32.4,89.1,7.3,67
2023-07-14,Delhi,27.9,91.2,0.0,97
2023-07-15,Delhi,30.2,84.7,12.0,88
2023-07-16,Delhi,31.5,82.6,11.1,75
2023-07-17,Delhi,32.4,91.9,39.4,100
2023-07-18,Delhi,27.0,75.1,0.0,72
2023-07-19,Delhi,28.3,82.0,0.0,102
2023-07-20,Delhi,32.8,91.2,0.0,100
2023-07-21,Delhi,32.3,77.1,0.0,102
2023-07-22,Delhi,29.7,82.2,14.4,114
2023-07-23,Delhi,32.0,83.1,36.4,112
2023-07-24,Delhi,28.1,90.2,27.2,100
2023-07-25,Delhi,32.6,93.1,0.0,105
2023-07-26,Delhi,27.7,91.0,18.4,113
2023-07-27,Delhi,32.6,89.9,19.8,82
2023-07-28,Delhi,32.5,78.0,12.2,101
2023-07-29,Delhi,27.8,79.2,24.2,108
2023-07-30,Delhi,30.7,81.6,0.0,72
2023-07-31,Delhi,31.5,82.7,6.0,94
2023-08-01,Delhi,28.5,79.3,29.5,113
2023-08-02,Delhi,31.7,93.2,0.0,66
2023-08-03,Delhi,29.3,83.9,0.0,110
2023-08-04,Delhi,32.2,92.8,9.8,91
2023-08-05,Delhi,31.8,79.7,21.5,105
2023-08-06,Delhi,29.0,75.8,0.0,67
2023-08-07,Delhi,31.0,84.1,0.0,69
2023-08-08,Delhi,32.0,75.0,36.0,116
2023-08-09,Delhi,27.2,79.7,31.7,66
2023-08-10,Delhi,29.4,76.2,15.5,74
2023-08-11,Delhi,28.2,94.9,30.0,75
2023-08-12,Delhi,32.7,94.0,0.0,60
2023-08-13,Delhi,27.2,81.8,0.0,65
2023-08-14,Delhi,29.0,84.0,16.1,102
2023-08-15,Delhi,31.7,91.6,32.1,64
2023-08-16,Delhi,31.1,89.2,34.9,92
2023-08-17,Delhi,28.7,79.0,31.6,89
2023-08-18,Delhi,32.6,90.1,25.7,115
2023-08-19,Delhi,32.6,87.3,0.0,81
2023-08-20,Delhi,28.5,90.8,22.8,113
2023-08-21,Delhi,28.9,90.2,13.7,67
2023-08-22,Delhi,28.7,84.1,0.0,67
2023-08-23,Delhi,28.5,76.0,0.0,68
2023-08-24,Delhi,32.4,81.1,0.0,87
2023-08-25,Delhi,31.3,81.0,0.0,60
2023-08-26,Delhi,32.1,79.3,0.0,110
2023-08-27,Delhi,31.8,84.6,26.4,96
2023-08-28,Delhi,30.2,75.8,10.9,82
2023-08-29,Delhi,27.1,82.7,0.0,81
2023-08-30,Delhi,27.2,77.6,36.1,112
2023-08-31,Delhi,27.5,86.9,39.3,92
2023-09-01,Delhi,29.3,92.7,6.8,96
2023-09-02,Delhi,30.5,77.3,0.0,99
2023-09-03,Delhi,27.1,82.2,0.0,76
2023-09-04,Delhi,30.7,94.1,0.0,116
2023-09-05,Delhi,28.6,81.3,0.0,93
2023-09-06,Delhi,32.0,82.6,25.1,89
2023-09-07,Delhi,30.0,81.2,0.0,112
2023-09-08,Delhi,28.3,85.5,0.0,64
2023-09-09,Delhi,28.9,86.5,24.6,92
2023-09-10,Delhi,32.7,88.6,26.1,83
2023-09-11,Delhi,29.9,88.6,0.0,109
2023-09-12,Delhi,28.8,84.9,5.6,75
2023-09-13,Delhi,28.8,87.0,0.0,115
2023-09-14,Delhi,32.0,82.1,0.0,114
2023-09-15,Delhi,29.7,88.9,0.0,72
2023-09-16,Delhi,29.5,88.1,7.5,103
2023-09-17,Delhi,27.1,83.6,35.1,80
2023-09-18,Delhi,29.5,92.7,35.9,100
