date,region,disease,cases,deaths,recovered,population
2023-06-02,Maharashtra,Dengue,169,4,138,191251001
2023-06-02,Maharashtra,Malaria,542,9,456,191251001
2023-06-02,Maharashtra,Cholera,129,5,103,191251001
2023-06-02,Maharashtra,Influenza,28,1,23,191251001
2023-06-02,Maharashtra,COVID-19,94,3,77,191251001
2023-06-02,Karnataka,Dengue,298,10,256,47519735
2023-06-02,Karnataka,Malaria,178,4,164,47519735
2023-06-02,Karnataka,Cholera,177,2,151,47519735
2023-06-02,Karnataka,Influenza,23,0,18,47519735
2023-06-02,Karnataka,COVID-19,83,1,75,47519735
2023-06-02,Delhi,Dengue,42,1,36,44991027
2023-06-02,Delhi,Malaria,74,1,67,44991027
2023-06-02,Delhi,Cholera,214,9,197,44991027
2023-06-02,Delhi,Influenza,23,0,19,44991027
2023-06-02,Delhi,COVID-19,52,2,42,44991027
2023-06-02,Tamil Nadu,Dengue,701,7,574,91807850
2023-06-02,Tamil Nadu,Malaria,370,16,336,91807850
2023-06-02,Tamil Nadu,Cholera,44,0,40,91807850
2023-06-02,Tamil Nadu,Influenza,72,0,63,91807850
2023-06-02,Tamil Nadu,COVID-19,325,15,277,91807850
2023-06-02,Kerala,Dengue,270,12,255,103855305
2023-06-02,Kerala,Malaria,69,1,59,103855305
2023-06-02,Kerala,Cholera,250,4,234,103855305
2023-06-02,Kerala,Influenza,67,3,55,103855305
2023-06-02,Kerala,COVID-19,347,15,278,103855305
2023-06-02,Gujarat,Dengue,245,7,229,127008533
2023-06-02,Gujarat,Malaria,158,4,130,127008533
2023-06-02,Gujarat,Cholera,208,6,170,127008533
2023-06-02,Gujarat,Influenza,33,0,30,127008533
2023-06-02,Gujarat,COVID-19,318,9,265,127008533
2023-06-02,Uttar Pradesh,Dengue,656,8,573,70247637
2023-06-02,Uttar Pradesh,Malaria,261,7,231,70247637
2023-06-02,Uttar Pradesh,Cholera,49,1,41,70247637
2023-06-02,Uttar Pradesh,Influenza,22,0,19,70247637
2023-06-02,Uttar Pradesh,COVID-19,35,0,28,70247637
2023-06-02,West Bengal,Dengue,272,3,234,44572464
2023-06-02,West Bengal,Malaria,670,14,577,44572464
2023-06-02,West Bengal,Cholera,44,1,40,44572464
2023-06-02,West Bengal,Influenza,45,2,42,44572464
2023-06-02,West Bengal,COVID-19,149,4,134,44572464
2023-06-02,Rajasthan,Dengue,240,8,226,57637287
2023-06-02,Rajasthan,Malaria,221,5,191,57637287
2023-06-02,Rajasthan,Cholera,259,7,223,57637287
2023-06-02,Rajasthan,Influenza,82,2,68,57637287
2023-06-02,Rajasthan,COVID-19,69,3,57,57637287
2023-06-02,Telangana,Dengue,304,4,259,169377385
2023-06-02,Telangana,Malaria,311,4,251,169377385
2023-06-02,Telangana,Cholera,314,3,253,169377385
2023-06-02,Telangana,Influenza,61,1,56,169377385
2023-06-02,Telangana,COVID-19,57,1,48,169377385
2023-06-09,Maharashtra,Dengue,56,0,45,113035335
2023-06-09,Maharashtra,Malaria,199,2,186,113035335
2023-06-09,Maharashtra,Cholera,167,1,149,113035335
2023-06-09,Maharashtra,Influenza,38,0,31,113035335
2023-06-09,Maharashtra,COVID-19,163,4,152,113035335
2023-06-09,Karnataka,Dengue,479,20,397,122630512
2023-06-09,Karnataka,Malaria,365,7,301,122630512
2023-06-09,Karnataka,Cholera,115,4,96,122630512
2023-06-09,Karnataka,Influenza,81,3,67,122630512
2023-06-09,Karnataka,COVID-19,170,4,155,122630512
2023-06-09,Delhi,Dengue,128,2,118,123317947
2023-06-09,Delhi,Malaria,393,18,343,123317947
2023-06-09,Delhi,Cholera,120,1,111,123317947
2023-06-09,Delhi,Influenza,66,2,56,123317947
2023-06-09,Delhi,COVID-19,77,3,72,123317947
2023-06-09,Tamil Nadu,Dengue,195,6,161,62880449
2023-06-09,Tamil Nadu,Malaria,223,3,198,62880449
2023-06-09,Tamil Nadu,Cholera,181,2,155,62880449
2023-06-09,Tamil Nadu,Influenza,76,1,70,62880449
2023-06-09,Tamil Nadu,COVID-19,56,1,51,62880449
2023-06-09,Kerala,Dengue,737,17,672,95943286
2023-06-09,Kerala,Malaria,463,21,387,95943286
2023-06-09,Kerala,Cholera,30,0,28,95943286
2023-06-09,Kerala,Influenza,61,2,54,95943286
2023-06-09,Kerala,COVID-19,242,9,209,95943286
2023-06-09,Gujarat,Dengue,125,1,116,41193949
2023-06-09,Gujarat,Malaria,214,7,188,41193949
2023-06-09,Gujarat,Cholera,270,3,221,41193949
2023-06-09,Gujarat,Influenza,47,0,43,41193949
2023-06-09,Gujarat,COVID-19,94,1,81,41193949
2023-06-09,Uttar Pradesh,Dengue,621,22,553,168411454
2023-06-09,Uttar Pradesh,Malaria,280,3,258,168411454
2023-06-09,Uttar Pradesh,Cholera,52,2,47,168411454
2023-06-09,Uttar Pradesh,Influenza,46,1,39,168411454
2023-06-09,Uttar Pradesh,COVID-19,85,3,77,168411454
2023-06-09,West Bengal,Dengue,320,13,259,73392917
2023-06-09,West Bengal,Malaria,258,6,216,73392917
2023-06-09,West Bengal,Cholera,130,3,112,73392917
2023-06-09,West Bengal,Influenza,77,1,72,73392917
2023-06-09,West Bengal,COVID-19,23,0,21,73392917
2023-06-09,Rajasthan,Dengue,126,2,102,33001680
2023-06-09,Rajasthan,Malaria,72,3,64,33001680
2023-06-09,Rajasthan,Cholera,158,3,139,33001680
2023-06-09,Rajasthan,Influenza,49,1,42,33001680
2023-06-09,Rajasthan,COVID-19,270,3,253,33001680
2023-06-09,Telangana,Dengue,328,9,274,155694318
2023-06-09,Telangana,Malaria,306,15,249,155694318
2023-06-09,Telangana,Cholera,325,7,293,155694318
2023-06-09,Telangana,Influenza,23,0,20,155694318
2023-06-09,Telangana,COVID-19,82,2,76,155694318
2023-06-16,Maharashtra,Dengue,662,26,542,52929759
2023-06-16,Maharashtra,Malaria,199,9,164,52929759
2023-06-16,Maharashtra,Cholera,231,5,203,52929759
2023-06-16,Maharashtra,Influenza,75,3,61,52929759
2023-06-16,Maharashtra,COVID-19,68,2,61,52929759
2023-06-16,Karnataka,Dengue,178,5,143,42097079
2023-06-16,Karnataka,Malaria,347,9,279,42097079
2023-06-16,Karnataka,Cholera,243,7,203,42097079
2023-06-16,Karnataka,Influenza,45,0,36,42097079
2023-06-16,Karnataka,COVID-19,166,7,134,42097079
2023-06-16,Delhi,Dengue,672,10,592,56847433
2023-06-16,Delhi,Malaria,440,12,405,56847433
2023-06-16,Delhi,Cholera,34,0,27,56847433
2023-06-16,Delhi,Influenza,91,2,82,56847433
2023-06-16,Delhi,COVID-19,458,5,414,56847433
2023-06-16,Tamil Nadu,Dengue,265,3,229,111118472
2023-06-16,Tamil Nadu,Malaria,266,11,241,111118472
2023-06-16,Tamil Nadu,Cholera,125,4,106,111118472
2023-06-16,Tamil Nadu,Influenza,14,0,12,111118472
2023-06-16,Tamil Nadu,COVID-19,110,4,89,111118472
2023-06-16,Kerala,Dengue,196,3,173,115323715
2023-06-16,Kerala,Malaria,198,4,178,115323715
2023-06-16,Kerala,Cholera,42,1,37,115323715
2023-06-16,Kerala,Influenza,100,3,94,115323715
2023-06-16,Kerala,COVID-19,414,17,344,115323715
2023-06-16,Gujarat,Dengue,229,6,200,44684284
2023-06-16,Gujarat,Malaria,405,5,330,44684284
2023-06-16,Gujarat,Cholera,70,2,56,44684284
2023-06-16,Gujarat,Influenza,50,1,42,44684284
2023-06-16,Gujarat,COVID-19,18,0,15,44684284
2023-06-16,Uttar Pradesh,Dengue,576,18,546,35694020
2023-06-16,Uttar Pradesh,Malaria,565,9,533,35694020
2023-06-16,Uttar Pradesh,Cholera,256,2,214,35694020
2023-06-16,Uttar Pradesh,Influenza,54,2,46,35694020
2023-06-16,Uttar Pradesh,COVID-19,34,0,27,35694020
2023-06-16,West Bengal,Dengue,57,2,50,47430030
2023-06-16,West Bengal,Malaria,323,6,304,47430030
2023-06-16,West Bengal,Cholera,250,6,236,47430030
2023-06-16,West Bengal,Influenza,69,0,56,47430030
2023-06-16,West Bengal,COVID-19,310,11,260,47430030
2023-06-16,Rajasthan,Dengue,53,2,43,144852929
2023-06-16,Rajasthan,Malaria,160,2,145,144852929
2023-06-16,Rajasthan,Cholera,27,1,22,144852929
2023-06-16,Rajasthan,Influenza,89,1,76,144852929
2023-06-16,Rajasthan,COVID-19,22,0,18,144852929
2023-06-16,Telangana,Dengue,553,12,494,49494813
2023-06-16,Telangana,Malaria,250,5,206,49494813
2023-06-16,Telangana,Cholera,30,1,24,49494813
2023-06-16,Telangana,Influenza,45,0,41,49494813
2023-06-16,Telangana,COVID-19,231,3,184,49494813
2023-06-23,Maharashtra,Dengue,674,10,631,199902624
2023-06-23,Maharashtra,Malaria,681,17,593,199902624
2023-06-23,Maharashtra,Cholera,96,2,87,199902624
2023-06-23,Maharashtra,Influenza,22,0,18,199902624
2023-06-23,Maharashtra,COVID-19,316,13,297,199902624
2023-06-23,Karnataka,Dengue,741,12,620,184240919
2023-06-23,Karnataka,Malaria,413,7,374,184240919
2023-06-23,Karnataka,Cholera,71,0,62,184240919
2023-06-23,Karnataka,Influenza,62,0,51,184240919
2023-06-23,Karnataka,COVID-19,205,6,185,184240919
2023-06-23,Delhi,Dengue,185,7,162,174085276
2023-06-23,Delhi,Malaria,278,11,244,174085276
2023-06-23,Delhi,Cholera,61,0,51,174085276
2023-06-23,Delhi,Influenza,60,2,54,174085276
2023-06-23,Delhi,COVID-19,111,3,105,174085276
2023-06-23,Tamil Nadu,Dengue,424,12,359,76550093
2023-06-23,Tamil Nadu,Malaria,179,7,145,76550093
2023-06-23,Tamil Nadu,Cholera,290,11,272,76550093
2023-06-23,Tamil Nadu,Influenza,21,0,19,76550093
2023-06-23,Tamil Nadu,COVID-19,350,9,331,76550093
2023-06-23,Kerala,Dengue,195,5,165,151615693
2023-06-23,Kerala,Malaria,345,8,281,151615693
2023-06-23,Kerala,Cholera,252,9,218,151615693
2023-06-23,Kerala,Influenza,82,1,76,151615693
2023-06-23,Kerala,COVID-19,278,3,244,151615693
2023-06-23,Gujarat,Dengue,372,16,298,119077239
2023-06-23,Gujarat,Malaria,383,13,362,119077239
2023-06-23,Gujarat,Cholera,157,4,141,119077239
2023-06-23,Gujarat,Influenza,87,1,72,119077239
2023-06-23,Gujarat,COVID-19,91,3,83,119077239
2023-06-23,Uttar Pradesh,Dengue,509,22,423,56726515
2023-06-23,Uttar Pradesh,Malaria,561,24,463,56726515
2023-06-23,Uttar Pradesh,Cholera,127,3,103,56726515
2023-06-23,Uttar Pradesh,Influenza,42,2,37,56726515
2023-06-23,Uttar Pradesh,COVID-19,472,17,378,56726515
2023-06-23,West Bengal,Dengue,167,4,146,141601403
2023-06-23,West Bengal,Malaria,227,3,202,141601403
2023-06-23,West Bengal,Cholera,73,1,60,141601403
2023-06-23,West Bengal,Influenza,96,4,84,141601403
2023-06-23,West Bengal,COVID-19,66,1,59,141601403
2023-06-23,Rajasthan,Dengue,101,3,92,174059302
2023-06-23,Rajasthan,Malaria,262,7,245,174059302
2023-06-23,Rajasthan,Cholera,32,0,29,174059302
2023-06-23,Rajasthan,Influenza,60,1,51,174059302
2023-06-23,Rajasthan,COVID-19,176,6,149,174059302
2023-06-23,Telangana,Dengue,205,4,190,136777099
